tiempo_s,q_low_gs_sin_preinfusion,q_high_gs_sin_preinfusion
24.5,1.175,2.175
24.6,1.17,2.17
24.7,1.165,2.165
24.8,1.16,2.16
24.9,1.155,2.155
25.0,1.15,2.15
25.1,1.145,2.145
25.2,1.14,2.14
25.3,1.135,2.135
25.4,1.13,2.13
25.5,1.125,2.125
25.6,1.12,2.12
25.7,1.115,2.115
25.8,1.11,2.11
25.9,1.105,2.105
26.0,1.1,2.1
26.1,1.095,2.095
26.2,1.09,2.09
26.3,1.085,2.085
26.4,1.08,2.08
26.5,1.075,2.075
26.6,1.07,2.07
26.7,1.065,2.065
26.8,1.06,2.06
26.9,1.055,2.055
27.0,1.05,2.05
27.1,1.045,2.045
27.2,1.04,2.04
27.3,1.035,2.035
27.4,1.03,2.03
27.5,1.025,2.025
27.6,1.02,2.02
27.7,1.015,2.015
27.8,1.01,2.01
27.9,1.005,2.005
28.0,1.0,2.0
28.1,0.995,1.995
28.2,0.99,1.99
28.3,0.985,1.985
28.4,0.98,1.98
28.5,0.975,1.975
28.6,0.97,1.97
28.7,0.965,1.965
28.8,0.96,1.96
28.9,0.955,1.955
29.0,0.95,1.95
29.1,0.945,1.945
29.2,0.94,1.94
29.3,0.935,1.935
29.4,0.93,1.93
29.5,0.925,1.925
29.6,0.92,1.92
29.7,0.915,1.915
29.8,0.91,1.91
29.9,0.905,1.905
30.0,0.9,1.9
